PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
37.54961,37.74057,1.005085539,2647.6,0.83454,2.741950322,3.69E+00,57.69230769,38.46153846,3.846153846,0,0,0,0,-2.47934,-2.76673
34.3979,34.55962,1.00470145,2449.5,0.82182,2.35222394,4.25E+00,57.69230769,34.61538462,0,7.692307692,0,0,0,-2.56551,-2.79485
55.44839,55.49799,1.000894526,2371.05,0.86226,3.284061868,3.47E+00,57.14285714,38.7755102,0,4.081632653,0,0,0,-2.20094,-2.42592
9.79296,10.47702,1.06985222,1277.65,0.58932,0.731431238,5.72E+00,43.75,37.5,0,12.5,6.25,0,0,-3.18309,-3.43571
12.22497,12.7233,1.04076329,1965.68,0.6377,0.86488202,8.82E+00,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,-3.15,-3.30699
13.70357,14.0752,1.027119211,1601.26,0.63478,0.789035688,8.79E+00,50,20,0,20,10,0,0,-3.05846,-3.09243
27.14113,34.56119,1.273388028,7623.71,0.90746,5.158807311,3.73E+00,57.63546798,38.42364532,3.9408867,0,0,0,0,-2.85984,-2.83497
5.40897,9.86824,1.824421285,4214.86,0.72396,1.3867345,8.15E+00,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,-3.46574,-3.48978
9.26179,9.35855,1.010447225,3254.74,0.72776,1.334558304,8.60E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.71725,-3.60408
4.33795,4.58342,1.056586637,399.366,0.46242,0.443793967,1.56E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.19982,-3.31017
8.87996,8.97856,1.011103654,1869.59,0.62822,0.854392118,9.73E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.11273,-3.18226
4.09217,4.35137,1.063340477,258.579,0.43584,0.390852838,1.71E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.26248,-3.28744
12.74558,13.0458,1.023554832,1134.58,0.5562,0.487980347,1.20E+01,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,-3.53574,-3.55311
12.78481,13.08945,1.023828277,1111.54,0.59634,0.565395883,1.04E+01,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,-3.33547,-3.5169
8.28768,8.45131,1.019743764,1791.81,0.62786,0.894782596,6.98E+00,56.98924731,38.70967742,4.301075269,0,0,0,0,-3.09427,-3.18089
18.69066,20.45335,1.094308601,3980.38,0.81322,2.247836386,1.24E+01,56.60377358,35.8490566,7.547169811,0,0,0,0,-3.64772,-3.6303
23.14657,23.37377,1.009815709,2027.01,0.74468,1.469098198,5.50E+00,50,37.5,6.25,6.25,0,0,0,-2.80683,-2.93418
16.8085,17.19339,1.022898533,2642.36,0.72696,1.29790877,7.48E+00,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,-3.50898,-3.59448
32.26851,32.49748,1.007095772,2597.35,0.82036,2.358488125,3.53E+00,46.875,40.625,6.25,6.25,0,0,0,-2.58267,-2.7003
21.98706,22.24941,1.011932018,1742.73,0.7308,1.202762997,6.56E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-2.97686,-3.09785
23.64538,23.86875,1.009446666,1697.67,0.72312,1.244464943,5.92E+00,56.25,25,0,12.5,6.25,0,0,-2.79823,-3.00707
8.56216,9.14896,1.068534108,1114.65,0.53162,0.533721261,9.88E+00,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,-3.19901,-3.19998
24.14836,24.38426,1.009768779,1743.58,0.73324,1.341876072,5.79E+00,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,-2.84481,-2.88505
16.21639,16.54198,1.020077835,1595.7,0.65038,0.931708428,6.42E+00,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,-2.93215,-3.02563
17.28794,17.6262,1.019566241,1612.52,0.67756,0.93337466,8.91E+00,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,-2.83653,-2.95816
25.30476,25.68704,1.015107039,2252.6,0.7401,1.451680289,7.74E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-2.96255,-3.14495
25.21035,25.45912,1.009867773,2597.93,0.79384,1.942097203,4.10E+00,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,-2.7099,-2.78673
10.98125,12.52501,1.140581446,5102.7,0.75934,1.646030053,9.38E+00,56.52173913,38.04347826,5.434782609,0,0,0,0,-3.61607,-3.66387
