PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-CO2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DCO2 - INF),LOG(DCO2 - 1 bar)
21.98706,22.24941,1.011932018,1742.73,0.7308,1.202762997,1.82E+01,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-4.0176,-4.1028
23.64538,23.86875,1.009446666,1697.67,0.72312,1.244464943,1.28E+01,56.25,25,0,12.5,6.25,0,0,-3.7458,-3.7881
8.56216,9.14896,1.068534108,1114.65,0.53162,0.533721261,1.78E+01,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,-3.5475,-3.8475
24.14836,24.38426,1.009768779,1743.58,0.73324,1.341876072,1.24E+01,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,-3.7225,-3.7175
16.21639,16.54198,1.020077835,1595.7,0.65038,0.931708428,1.27E+01,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,-3.3286,-3.3594
17.28794,17.6262,1.019566241,1612.52,0.67756,0.93337466,1.64E+01,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,-3.6304,-3.8612
25.30476,25.68704,1.015107039,2252.6,0.7401,1.451680289,1.54E+01,56.75675676,37.83783784,5.405405405,0,0,0,0,-3.8171,-3.8893
25.21035,25.45912,1.009867773,2597.93,0.79384,1.942097203,1.02E+01,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,-3.2015,-3.2108
10.98125,12.52501,1.140581446,5102.7,0.75934,1.646030053,1.75E+01,56.52173913,38.04347826,5.434782609,0,0,0,0,-3.9349,-3.9602
10.12633,11.59954,1.145483112,3831.24,0.71288,1.315910429,1.65E+01,55.55555556,37.5,6.944444444,0,0,0,0,-4.2749,-4.2204
31.98616,32.11213,1.003938266,2477.4,0.77316,1.790298267,1.20E+01,57.44680851,38.29787234,4.255319149,0,0,0,0,-3.3087,-3.368
21.24887,21.39035,1.006658236,1375.09,0.62376,0.827330448,1.50E+01,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,-3.0927,-3.2497
16.83337,17.12286,1.017197388,2390.91,0.70752,1.356556151,1.04E+01,54.54545455,36.36363636,9.090909091,0,0,0,0,-3.1042,-3.2844
24.86871,25.35566,1.019580831,3444.92,0.8318,2.48857136,1.11E+01,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,-3.7508,-3.791
9.65747,11.09613,1.148968622,2283.27,0.67046,1.078190783,1.19E+01,53.19148936,42.55319149,4.255319149,0,0,0,0,-3.5967,-3.6504
14.64627,14.87352,1.015515896,2607.7,0.72348,1.407127048,1.18E+01,59.09090909,38.63636364,2.272727273,0,0,0,0,-3.4169,-3.4807
26.94167,27.1243,1.006778719,1677.46,0.75146,1.348856328,1.56E+01,55,25,10,0,0,10,0,-3.6442,-3.8099
9.7242,10.56229,1.08618601,782.175,0.5707,0.525777565,2.55E+01,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,-4.0945,-4.4208
